x,y,z,leftButton,rightButton,lightSensor,soundSensor,tempSensor
null
1.66,0.08,10.14,0.0,0.0,0.0,311.0,82.9
1.73,0.05,10.04,0.0,0.0,0.0,333.0,82.9
1.77,0.07,9.98,0.0,0.0,0.0,370.0,82.9
1.68,0.08,9.73,0.0,0.0,0.0,319.0,83.09
1.71,0.04,9.92,0.0,0.0,0.0,356.0,82.9
1.67,-0.04,9.82,0.0,0.0,0.0,349.0,83.09
1.76,0.02,9.97,0.0,0.0,0.0,358.0,83.09
1.85,-0.01,9.86,0.0,0.0,0.0,344.0,83.09
1.87,0.04,9.86,0.0,0.0,0.0,309.0,83.09
1.84,0.03,9.86,0.0,0.0,0.0,344.0,83.09
1.86,0.0,9.9,0.0,0.0,0.0,313.0,83.09
1.78,0.03,9.73,0.0,0.0,0.0,357.0,83.09
1.78,-0.01,9.86,0.0,0.0,0.0,324.0,83.09
1.74,-0.08,10.06,0.0,0.0,0.0,331.0,83.09
1.79,-0.09,9.89,0.0,0.0,0.0,326.0,83.09
1.92,-0.01,9.87,0.0,0.0,0.0,350.0,83.09
1.84,-0.01,9.76,0.0,0.0,0.0,322.0,83.09
1.81,-0.02,9.74,0.0,0.0,0.0,347.0,83.09
1.78,-0.02,9.83,0.0,0.0,0.0,338.0,83.09
1.83,-0.06,9.9,0.0,0.0,0.0,339.0,83.09
1.78,-0.05,9.68,0.0,0.0,0.0,324.0,83.09
1.76,-0.12,9.75,0.0,0.0,0.0,318.0,83.28
1.7,-0.32,10.0,0.0,0.0,0.0,340.0,83.28
1.7,-0.25,9.85,0.0,0.0,0.0,387.0,83.28
1.55,-0.16,9.68,0.0,0.0,0.0,368.0,83.28
1.95,-0.06,9.65,0.0,0.0,0.0,358.0,83.28
1.8,-0.02,10.05,0.0,0.0,0.0,276.0,83.28
1.63,0.01,10.09,0.0,0.0,0.0,406.0,83.28
2.18,-1.06,8.01,0.0,0.0,2.0,356.0,83.28
1.19,-0.81,9.35,0.0,0.0,95.0,556.0,83.28
1.01,-0.59,9.71,0.0,0.0,120.0,136.0,83.28
1.14,0.2,10.61,0.0,0.0,259.0,337.0,83.28
1.34,0.13,10.1,0.0,0.0,237.0,416.0,83.09
1.71,-0.53,10.37,0.0,0.0,322.0,333.0,83.09
1.92,-0.33,10.36,0.0,0.0,364.0,340.0,83.09
2.16,-0.27,10.82,0.0,0.0,367.0,324.0,83.09
2.37,-0.6,10.34,0.0,0.0,369.0,218.0,83.09
2.42,0.09,10.08,0.0,0.0,374.0,326.0,83.09
2.39,0.2,9.38,0.0,0.0,374.0,333.0,83.09
2.14,0.11,9.48,0.0,0.0,376.0,152.0,83.09
0.56,1.5,10.5,0.0,0.0,384.0,301.0,83.09
0.84,0.34,10.34,0.0,0.0,382.0,444.0,83.09
2.17,-0.86,8.97,0.0,0.0,380.0,374.0,83.09
0.53,2.24,10.15,0.0,0.0,382.0,280.0,83.09
